121 156
53 124 76
158 184 9
191 117 5
51 126 28
88 130 36
35 11 63
35 136 44
5 117 34
19 17 59
168 100 65
190 134 34
68 1 61
63 75 39
104 33 83
71 222 62
225 10 4
147 157 51
40 130 43
213 219 3
78 104 50
112 23 36
174 38 75
93 128 50
60 9 69
161 170 68
142 174 26
41 74 4
96 136 99
175 46 10
5 205 17
187 83 15
7 90 97
95 118 31
151 26 51
119 19 42
48 33 47
87 107 89
121 120 48
162 96 51
50 69 11
143 173 97
8 230 89
51 65
45 41 76
48 45 87
10 41 24
12 10 23
4 48 50
46 48 19
38 45 64
37 48 15
28 48 19
50 37 88
1 41 83
2 4 26
9 2 41
24 48 78
11 46 45
21 48 17
8 28 74
30 2 12
42 12 19
31 46 97
19 8 49
35 42 51
43 38 68
25 2 64
34 10 22
33 28 75
20 46 30
7 10 7
40 30 60
39 21 87
17 45 85
15 50 65
51 12 24
36 8 50
23 1 56
22 39 61
29 20 93
6 11 63
3 4 76
5 2 7
27 21 67
44 17 8
47 11 73
13 42 17
32 43 13
49 36 88
14 51 51
18 22 92
26 38 14
16 8 74
28 4 66
22 11 76
27 43 58
48 51 23
9 1 77
10 46 45
7 35 84
33 5 83
19 46 9
36 14 100
40 39 4
1 19 10
9 49 6
5 34 56
49 48 73
271 418
89 105 1
118 89 41
80 105 13
127 89 46
111 105 97
189 80 3
198 189 16
117 105 67
222 198 22
83 118 53
238 189 84
165 198 81
253 222 61
226 117 21
196 83 30
92 198 46
125 80 86
234 125 11
112 196 16
156 189 88
217 117 54
175 112 4
24 175 54
77 196 99
135 189 45
134 127 81
150 80 15
110 156 85
49 226 33
75 111 93
11 125 83
131 135 18
195 75 36
151 131 25
137 77 72
251 118 59
166 137 29
216 92 22
245 222 66
124 117 16
205 137 57
79 234 80
211 137 80
185 166 63
132 131 59
28 80 70
149 175 77
257 189 91
91 137 89
148 195 5
78 80 30
15 135 32
113 124 100
17 189 17
88 165 76
81 198 10
44 111 12
159 125 74
220 124 60
167 75 65
271 11 88
5 24 31
255 271 41
69 234 12
4 127 75
186 156 47
33 91 15
45 113 45
55 45 55
18 186 11
247 186 54
210 113 4
224 105 5
264 105 32
2 45 41
47 89 86
219 255 86
235 131 6
201 150 20
197 92 96
246 92 40
193 148 45
240 210 50
12 55 81
254 77 76
85 246 40
232 4 48
39 5 88
138 15 23
184 127 23
144 69 2
262 255 98
242 156 55
227 149 23
101 197 55
126 234 63
188 210 68
177 156 12
192 235 84
260 188 98
228 254 31
162 55 14
168 131 56
116 189 95
119 4 70
265 193 8
236 85 34
42 83 19
63 132 32
160 131 74
173 217 42
71 220 71
65 177 66
199 17 68
48 124 2
97 144 13
223 91 23
152 131 92
243 195 65
163 28 94
258 185 44
269 251 80
237 97 33
107 42 57
72 45 63
181 63 44
170 80 49
26 173 91
202 65 53
82 112 59
31 150 55
212 226 56
239 186 14
54 78 22
13 105 91
221 2 9
179 31 72
36 69 41
136 72 17
182 205 39
103 254 63
233 160 97
16 89 37
218 4 46
106 119 16
213 188 46
250 168 8
67 199 54
41 219 15
20 103 74
22 221 72
157 247 11
93 106 22
109 22 62
94 233 81
37 260 55
35 136 7
46 213 72
86 78 18
76 260 8
64 111 90
87 134 57
183 93 30
229 113 94
140 220 67
161 106 12
267 242 56
59 251 26
259 255 56
29 267 30
21 11 80
206 42 60
190 217 78
164 181 52
158 59 75
176 205 43
191 15 89
10 269 14
23 234 49
200 264 99
153 31 66
268 136 34
68 233 21
114 247 42
57 267 58
244 125 49
209 235 93
261 173 78
120 247 23
204 82 8
215 217 44
256 216 46
14 134 53
155 106 9
171 18 4
214 188 95
249 5 18
7 179 7
122 164 63
53 244 46
108 218 81
263 164 40
128 92 4
62 85 40
194 237 46
203 17 62
139 255 42
266 165 9
58 162 73
3 202 41
99 149 69
133 69 51
98 11 92
1 10 39
73 168 12
230 131 57
174 250 6
8 93 88
270 214 54
43 46 52
30 59 16
9 222 67
142 20 81
100 201 30
143 254 8
104 230 84
51 23 36
207 18 17
66 128 71
145 245 80
231 233 64
32 260 65
208 54 96
121 108 3
27 8 100
187 149 73
6 67 37
56 243 68
172 177 96
115 106 80
252 223 9
96 230 94
178 99 7
169 270 92
141 113 11
146 117 1
180 149 89
225 119 7
34 36 77
38 139 28
102 98 36
52 110 11
60 44 25
61 183 13
154 105 93
50 152 74
90 160 38
19 132 14
130 268 47
129 103 27
147 187 27
95 50 54
123 75 58
25 240 64
70 203 68
74 105 78
84 38 10
241 142 33
248 110 98
40 99 90
257 64 77
153 218 47
245 224 23
143 140 6
244 75 65
248 140 37
186 103 13
64 129 18
197 112 3
249 201 72
90 186 96
117 62 44
87 208 11
40 129 97
227 116 94
19 145 60
193 140 62
104 80 19
196 80 80
216 123 98
108 150 81
49 38 29
138 172 61
53 143 98
148 136 59
66 11 85
79 36 85
156 84 61
173 40 64
100 111 63
16 100 2
265 37 99
213 231 71
252 266 32
191 242 30
195 169 77
94 193 77
242 263 69
42 227 60
128 183 78
47 56 18
188 257 31
6 208 19
162 96 80
132 142 19
151 9 75
224 85 23
238 237 80
182 49 12
39 255 9
48 199 3
174 65 31
137 170 63
232 118 48
49 131 76
104 123 68
135 238 69
150 231 15
135 21 76
32 200 100
205 7 56
181 37 63
200 101 85
112 160 82
216 124 31
127 78 28
132 109 86
111 192 40
232 85 80
165 33 57
181 134 6
71 83 31
23 143 52
147 27 48
33 249 17
20 223 64
108 249 35
265 195 90
233 87 79
129 102 32
223 141 86
236 122 95
195 99 3
265 221 38
38 131 17
219 68 49
73 156 79
32 222 54
199 242 81
230 255 78
82 164 100
185 115 29
212 71 98
7 214 55
15 178 33
60 117 18
100 265 17
268 65 54
12 241 100
236 84 67
151 241 60
65 224 86
153 69 97
29 140 61
193 181 58
176 255 70
231 246 94
267 197 13
239 94 70
148 249 36
257 204 2
89 152 68
18 248 26
117 1 91
13 31 32
259 244 44
188 103 29
237 176 63
174 113 87
8 142 55
44 128 96
240 160 52
2 185 29
220 78 43
92 25 80
7 185 17
187 1 1
127 25 91
155 234 69
83 107 2
18 176 8
43 205 18
122 167 50
112 241 36
193 32 93
121 252 50
264 240 97
249 81 47
22 250 27
182 19 15
21 180 80
271 116 64
192 33 48
211 224 48
61 163 37
104 7 97
236 154 52
190 192 20
40 39
27 10 22
33 27 93
6 10 85
3 33 76
11 3 49
40 10 12
20 40 6
14 10 1
18 14 65
24 20 59
19 18 84
25 27 44
1 6 75
26 11 57
36 18 27
16 18 1
21 25 50
7 20 85
17 16 52
38 19 56
29 36 55
34 21 40
22 14 45
4 21 42
5 14 59
23 3 32
32 17 7
28 24 22
31 19 24
30 17 2
2 22 64
39 33 44
12 18 85
9 7 14
13 23 38
37 2 13
8 11 3
35 6 12
15 33 43
148 153
41 122 17
19 122 72
49 41 85
16 122 97
105 16 94
32 16 9
66 19 83
91 49 49
127 49 76
115 127 23
51 127 61
76 127 100
38 19 79
40 51 100
97 32 5
116 49 87
59 122 69
142 19 35
90 91 55
86 122 89
141 66 1
88 105 97
60 142 27
34 90 56
148 34 49
119 127 1
18 127 77
123 49 37
2 19 88
56 91 68
42 38 64
140 115 2
21 42 18
146 2 63
33 42 90
6 91 56
99 105 30
133 76 2
57 60 3
74 127 18
138 115 55
17 119 17
7 42 80
102 105 59
28 56 23
128 140 21
77 38 54
104 133 64
67 123 41
39 97 62
112 28 75
43 16 87
68 59 7
98 39 98
106 68 85
95 86 9
137 133 38
52 140 29
117 102 10
129 148 14
30 88 68
72 74 31
3 91 43
101 57 45
61 98 19
55 77 90
113 38 71
35 2 50
9 30 1
14 41 85
92 56 57
111 90 21
131 104 99
139 14 76
130 119 85
10 7 4
114 16 38
54 102 57
121 95 40
94 10 75
64 128 87
46 40 14
8 138 24
1 60 26
73 90 67
48 72 77
29 56 42
75 123 8
124 102 79
107 72 1
71 55 80
135 17 47
81 105 84
145 42 98
23 3 2
108 46 95
96 7 29
132 8 31
80 34 36
24 115 46
26 113 8
143 92 22
22 41 11
100 108 85
89 104 15
47 104 68
118 32 60
37 95 36
85 108 25
44 16 13
25 49 35
82 47 11
93 34 88
27 28 54
136 27 100
103 75 61
147 72 56
84 99 54
83 142 86
79 35 75
15 98 28
126 106 50
144 33 45
69 99 45
13 101 28
50 74 77
4 146 99
11 113 17
62 68 63
134 64 99
125 108 5
63 104 81
87 55 1
120 133 84
58 59 16
45 138 62
12 62 44
20 48 20
5 147 61
65 122 97
70 95 35
36 126 1
31 82 40
53 51 13
78 125 20
110 15 41
109 53 8
91 42 9
111 101 35
13 60 20
49 87 2
122 45 20
100 54 10
241 425
100 47 64
149 100 47
27 100 43
125 100 20
221 149 5
5 27 30
179 125 63
67 125 98
122 27 3
84 47 57
132 47 48
226 5 89
139 122 15
196 122 89
189 139 58
136 221 94
108 84 20
147 196 66
225 132 33
184 226 13
34 27 37
181 27 79
156 196 62
144 139 58
188 108 60
198 181 32
58 196 7
238 225 53
101 198 60
12 100 6
190 125 13
161 122 15
223 188 5
113 47 33
237 27 49
13 125 90
168 58 19
239 58 74
114 125 37
137 12 60
30 84 96
215 223 20
92 198 60
236 238 67
183 12 46
232 92 89
50 101 95
26 147 40
40 125 77
153 139 55
240 50 98
165 137 84
201 225 75
9 198 88
36 165 55
18 179 54
119 226 77
193 168 53
15 114 66
87 161 35
121 27 25
155 201 18
38 87 92
42 168 71
32 47 44
7 50 19
96 161 88
141 58 65
124 101 35
52 193 6
222 32 31
51 189 48
129 184 57
25 181 49
62 226 2
210 13 59
220 25 32
148 144 2
204 161 62
90 58 71
28 101 76
158 90 16
159 121 63
17 18 63
41 139 86
227 30 44
231 42 7
164 139 37
22 225 17
1 129 72
212 25 77
126 13 31
200 168 17
29 210 23
185 17 36
172 84 79
235 114 66
24 239 58
241 196 13
99 5 95
127 15 32
61 122 73
145 52 82
68 36 84
167 113 67
116 29 57
8 9 22
151 149 17
3 18 89
66 212 92
31 204 25
162 116 99
142 201 5
20 238 2
191 51 72
130 125 11
117 113 67
138 24 68
6 34 24
178 200 43
152 183 49
45 92 22
174 155 66
131 196 81
82 129 81
43 34 9
107 144 60
35 162 48
175 50 25
83 1 37
80 82 95
209 201 81
109 240 14
123 237 71
88 161 32
39 227 50
57 196 80
105 50 31
106 28 79
115 221 37
65 161 57
150 131 76
120 7 89
76 168 91
128 181 24
73 196 37
103 239 20
79 209 94
53 198 64
81 52 35
217 226 81
95 188 72
219 181 82
118 39 6
206 131 33
234 25 4
44 148 83
46 107 89
135 151 85
98 90 46
207 73 18
154 156 48
71 117 84
192 13 99
216 227 77
211 145 53
199 106 53
78 13 95
70 145 26
163 149 23
230 240 17
224 96 94
77 206 100
33 61 89
93 3 53
63 181 81
72 167 2
75 50 79
176 141 84
19 238 64
97 199 87
89 105 73
134 212 48
233 67 15
104 193 31
49 222 97
140 128 98
133 144 66
2 136 53
194 68 22
214 193 95
86 161 33
177 147 54
111 116 52
60 123 84
203 209 69
94 103 73
48 80 22
180 107 49
54 25 91
195 1 39
85 68 62
69 119 29
229 230 10
110 183 6
169 216 52
170 89 86
55 165 95
64 121 45
23 221 26
37 154 23
4 200 15
14 240 98
11 214 95
182 239 62
160 188 61
205 73 51
208 165 37
202 8 59
171 42 41
197 148 37
10 5 24
91 239 5
74 22 69
228 123 75
218 29 48
16 41 12
143 50 90
166 224 78
187 163 70
59 16 22
21 227 5
102 203 29
146 218 39
173 138 59
157 208 15
112 8 19
213 237 8
186 72 83
56 179 54
36 171 70
11 201 77
118 64 78
192 97 17
39 162 55
27 129 3
228 83 94
210 225 58
69 211 72
116 104 72
69 131 35
122 157 50
134 167 45
78 10 95
209 139 63
128 197 37
97 154 34
29 90 36
54 174 32
140 164 75
90 147 28
86 131 42
78 208 43
221 9 3
225 35 15
79 217 86
149 147 94
139 134 18
160 46 43
48 201 49
133 131 13
154 26 74
19 69 2
80 98 1
114 188 40
75 101 87
82 153 1
197 230 52
76 132 77
157 30 86
60 65 1
188 125 54
86 76 88
110 172 25
56 143 40
227 87 92
31 147 18
119 100 19
123 74 92
208 228 21
4 172 27
61 96 44
192 101 79
23 123 32
109 152 78
113 100 75
37 29 53
176 126 3
35 147 43
235 62 7
97 42 70
55 79 59
194 25 35
132 53 67
10 158 36
221 37 36
8 212 82
140 227 21
7 181 75
153 176 79
51 74 46
128 110 81
14 118 46
114 192 65
82 32 3
82 98 10
111 223 10
211 222 22
47 189 82
56 210 21
172 155 16
149 88 42
203 212 94
68 218 65
10 114 48
130 7 95
33 162 96
112 18 74
144 226 75
183 199 63
23 44 93
5 87 81
195 76 17
11 144 39
119 216 82
29 95 4
161 207 75
20 15 61
33 131 92
30 141 23
95 117 3
144 194 82
199 190 34
112 80 10
106 181 74
59 71 37
123 213 26
220 4 19
235 230 14
62 87 68
13 212 94
21 186 93
208 85 46
81 194 27
12 186 38
158 98 38
34 70 57
221 205 9
73 83 67
78 132 35
171 34 69
63 144 65
78 21 64
104 186 87
12 23 8
108 9 68
129 53 45
50 209 33
81 100 76
228 8 47
231 155 60
101 216 23
83 215 10
172 180 20
23 126 61
58 82 41
131 234 78
228 115 42
126 40 73
14 218 21
190 45 29
44 46 17
90 228 20
15 171 9
146 134 3
171 1 68
54 58 54
200 215 45
145 127 42
239 219 94
132 108 80
64 232 39
131 199 25
26 93 43
28 181 91
179 133 71
108 5 43
44 47 16
46 17 32
47 123 53
131 185 93
46 11 29
145 142 82
213 214 35
99 95 93
31 186 58
81 72 88
210 144 91
152 103 36
122 38 60
211 84 1
58 214 8
33 56 15
180 59 75
192 60 60
120 18 77
94 222 18
113 79 68
49 114 78
2 34 6
169 167 71
175 234 86
15 81 95
111 129 76
15 118 6
55 103
15 37 20
54 15 4
44 37 58
24 54 98
31 15 78
8 54 47
41 24 87
4 31 68
10 44 31
47 4 1
51 47 60
17 24 94
46 44 39
32 46 11
53 4 95
29 44 5
5 4 67
34 47 93
22 24 2
1 54 85
14 41 41
43 24 1
48 46 25
42 53 16
38 32 39
2 10 28
35 15 70
18 41 78
49 1 45
6 42 17
21 32 17
27 31 87
39 37 28
3 37 36
28 8 80
23 51 29
30 48 33
40 51 7
50 18 88
13 42 12
11 5 86
20 47 44
7 3 21
33 6 31
52 4 55
16 8 7
55 15 83
26 16 46
45 50 27
36 40 70
9 17 26
19 27 61
25 42 44
12 23 82
43 36 37
15 23 3
55 3 77
52 1 71
3 36 46
30 3 24
40 32 93
39 25 61
44 13 74
55 33 45
15 43 66
51 39 11
34 5 2
22 50 53
23 14 1
42 36 37
14 30 61
47 36 32
16 53 8
28 2 93
51 31 22
6 34 55
39 17 31
11 35 12
44 24 73
51 19 30
13 18 48
54 4 66
8 50 69
23 42 38
53 23 85
28 14 19
13 27 72
54 43 53
20 23 67
52 42 36
8 9 91
40 49 22
51 14 32
22 16 7
23 37 55
34 33 40
10 53 89
41 45 34
29 43 50
17 1 72
47 28 76
13 47 93
38 44 94
259 422
141 107 8
14 107 42
144 141 90
46 144 8
161 144 19
70 141 34
104 46 33
67 104 4
77 104 7
82 67 67
251 107 8
108 144 18
3 82 54
135 251 42
164 82 96
169 135 84
114 107 46
151 108 32
30 14 6
210 77 84
198 141 20
204 135 12
22 164 8
47 135 30
20 198 32
140 198 37
222 108 79
174 198 65
52 30 12
88 104 19
76 222 21
9 174 77
190 140 98
196 108 2
188 190 69
129 151 58
86 70 27
121 22 31
126 82 97
156 104 23
125 198 35
18 169 86
93 3 83
146 164 56
65 30 1
62 126 95
91 146 20
36 129 49
50 204 47
40 104 12
179 108 5
219 174 23
143 104 62
57 125 67
10 91 15
41 114 55
15 188 9
84 210 5
197 30 37
17 251 50
218 169 53
38 93 93
99 107 79
132 219 95
54 67 56
78 164 45
102 52 37
1 76 96
216 146 78
202 50 70
209 114 53
157 146 80
8 132 20
74 129 67
89 3 22
25 52 19
165 57 85
229 50 9
94 62 89
227 174 30
58 143 47
166 15 64
55 52 89
117 108 49
12 82 3
155 107 93
168 216 9
6 202 43
61 209 69
199 227 17
233 151 17
24 198 85
183 190 78
172 61 65
184 76 58
64 251 38
32 24 65
127 99 28
33 143 18
250 141 85
37 155 39
79 93 41
42 54 60
253 65 43
214 55 3
103 67 62
206 77 15
154 9 55
123 179 2
189 210 96
110 15 69
182 9 100
258 24 19
85 229 16
186 233 93
45 18 2
239 102 42
26 143 61
193 121 36
63 199 80
59 183 53
243 157 52
138 17 77
60 82 41
122 18 100
238 37 73
56 196 60
170 15 45
106 47 22
201 170 83
73 60 61
234 52 9
101 174 46
16 76 30
80 36 84
100 102 49
81 85 71
163 193 39
39 135 15
152 121 69
215 93 47
7 85 59
180 227 94
68 12 34
119 16 19
145 74 8
192 54 47
5 145 11
35 99 48
252 37 73
205 196 47
92 193 88
96 250 95
2 121 29
120 154 60
149 166 46
246 180 98
221 110 90
208 222 60
171 143 24
259 210 38
237 60 22
11 3 36
242 243 36
34 12 65
136 33 86
142 144 96
53 38 5
95 100 29
256 218 73
27 204 63
212 42 44
130 119 48
225 125 68
249 198 78
124 70 45
131 184 50
44 37 24
240 206 34
231 184 87
220 204 84
217 36 55
111 40 2
51 65 27
19 107 7
75 179 15
245 189 2
158 197 49
31 6 49
241 120 80
230 32 73
244 10 91
226 82 78
153 184 68
116 78 9
191 8 59
128 121 25
4 144 48
29 143 8
211 101 88
72 259 64
160 125 53
83 172 21
13 231 56
115 107 34
235 77 17
28 89 40
195 59 47
224 153 65
223 199 59
187 93 62
236 61 99
177 44 83
185 80 32
48 230 1
133 102 55
167 119 80
207 31 55
178 95 99
255 186 17
134 3 64
109 144 66
139 14 21
228 96 63
150 125 17
247 106 59
176 36 98
98 145 53
49 178 93
137 246 58
200 151 76
71 195 44
97 209 45
232 207 47
159 84 15
162 177 66
87 95 61
21 251 63
181 138 72
173 136 90
175 185 99
43 252 54
69 162 63
147 201 98
148 19 41
203 25 88
23 36 84
194 44 74
257 156 95
66 207 37
254 32 99
112 166 70
105 82 84
118 242 5
90 192 35
113 124 59
248 184 48
213 245 37
202 236 49
132 83 15
25 77 63
115 204 78
94 219 92
246 38 55
60 46 56
59 152 99
216 235 55
212 220 21
118 26 56
172 214 89
103 98 74
213 86 66
93 155 37
131 122 93
128 195 29
218 35 56
160 25 85
205 10 35
113 6 31
194 231 15
30 199 75
67 120 97
188 95 78
70 238 49
40 122 17
80 227 14
188 77 51
148 250 100
169 207 15
247 217 95
180 76 96
37 100 92
225 215 95
173 189 69
79 141 93
101 186 77
210 226 96
195 180 33
104 8 47
173 200 85
8 85 44
84 76 45
154 226 54
80 179 29
8 76 78
58 40 76
11 184 36
160 54 33
203 94 12
146 61 48
40 173 35
225 59 19
218 222 61
135 110 10
59 118 68
58 113 45
212 81 70
14 148 67
95 202 13
15 102 49
73 23 41
72 32 1
154 64 65
188 90 88
125 253 86
236 21 19
88 166 85
204 144 96
46 48 82
89 140 16
154 110 81
108 188 15
48 237 12
234 57 69
42 125 60
132 135 41
4 88 71
198 126 75
170 32 93
190 109 10
118 113 13
140 178 97
137 40 86
89 152 24
120 222 45
72 85 38
49 111 25
119 211 6
144 155 15
239 125 36
144 138 41
94 110 30
218 167 99
88 205 70
92 115 39
126 258 91
182 221 27
143 8 80
128 87 53
72 38 6
177 222 45
63 182 94
176 145 11
165 251 14
192 33 17
183 124 99
196 43 48
219 236 34
5 146 47
194 124 77
235 47 58
255 95 50
1 168 49
223 219 44
176 24 89
196 35 77
225 17 30
227 228 79
87 3 30
217 75 33
157 18 57
200 246 23
194 39 59
157 147 47
55 150 44
41 43 28
61 143 89
190 180 78
256 121 12
130 196 59
118 159 86
101 202 35
52 189 66
127 139 57
75 115 80
125 78 10
74 175 79
21 102 97
19 47 78
163 78 38
168 246 19
158 208 80
53 139 84
201 50 5
119 49 43
180 16 14
70 81 57
19 200 23
90 237 41
128 133 46
51 121 17
101 59 9
225 90 32
243 203 54
111 121 35
73 178 65
202 51 49
255 78 9
206 66 49
254 220 76
125 66 30
49 92 66
214 416
150 108 49
13 150 73
65 150 42
98 13 52
9 65 16
20 150 17
87 65 23
46 9 90
25 46 95
120 65 51
57 65 26
31 65 48
58 20 80
145 87 88
131 87 63
133 9 36
199 131 12
100 20 45
181 150 99
11 57 51
191 199 74
55 25 12
23 31 87
202 150 41
78 46 91
18 131 65
144 55 98
118 131 6
161 78 1
189 11 3
86 18 99
106 118 42
168 199 82
190 98 45
92 98 60
69 161 83
56 87 63
94 108 52
177 199 31
71 56 92
36 25 40
59 181 86
209 118 4
126 106 48
50 209 2
8 31 4
147 133 2
74 31 56
91 161 31
30 191 31
125 18 73
17 100 49
76 71 21
167 199 96
2 71 72
192 190 26
26 18 34
130 120 97
163 126 87
51 56 4
146 190 86
212 23 23
82 87 55
5 87 15
158 2 41
62 133 42
121 190 41
194 58 89
47 167 3
109 58 99
183 189 4
166 17 37
34 161 54
41 166 85
95 2 9
205 145 78
73 5 79
32 69 14
66 125 45
195 150 11
174 17 36
213 108 98
24 25 82
129 191 54
142 59 28
88 126 84
160 167 22
172 76 76
81 163 36
206 26 96
45 120 11
103 212 15
157 26 85
112 125 10
156 78 90
7 31 88
175 66 31
6 130 73
198 91 83
27 168 6
187 20 8
162 161 42
38 88 81
111 213 83
61 121 48
97 18 55
151 144 23
28 181 48
52 189 44
77 94 70
39 59 26
136 209 11
185 175 88
12 6 31
99 194 52
203 136 97
15 174 94
29 97 9
149 111 44
207 9 89
204 58 79
132 174 27
1 46 24
143 204 95
139 100 9
165 73 83
164 207 23
123 168 16
170 129 99
197 17 98
21 198 71
90 213 30
35 163 3
107 207 31
116 192 71
124 71 27
10 31 70
37 98 57
200 1 64
14 66 100
159 71 48
169 109 61
171 191 46
178 100 35
89 58 14
96 146 97
42 181 20
84 108 4
44 74 4
214 177 39
70 156 40
80 147 99
114 23 83
117 90 74
148 37 84
53 160 33
127 94 83
179 38 26
180 57 68
68 108 37
152 136 25
105 167 56
43 100 29
49 13 45
176 84 35
75 18 80
210 58 70
140 176 46
153 109 40
137 5 30
184 197 34
101 195 97
40 27 59
64 109 3
182 131 65
83 171 3
72 89 82
63 10 77
19 52 34
16 195 54
173 28 96
85 117 1
93 49 40
102 28 52
188 166 66
201 212 36
113 148 96
60 12 99
186 10 21
3 38 60
119 117 31
155 106 90
138 139 25
110 97 72
22 96 29
122 7 64
135 15 33
115 17 69
211 34 41
208 91 83
196 153 15
154 169 31
104 43 75
33 17 54
141 37 37
79 109 48
4 169 38
134 153 42
128 36 61
67 117 35
54 45 22
193 49 54
48 170 93
156 100 91
177 132 69
68 18 94
128 68 86
171 113 26
129 88 12
180 49 26
104 21 90
175 160 69
27 160 17
29 33 23
201 101 88
192 97 49
128 157 87
43 208 17
103 28 48
3 125 11
208 194 6
140 142 61
139 206 86
22 92 31
42 125 79
83 183 21
167 164 59
197 135 78
133 161 51
171 69 22
166 132 22
160 214 18
142 111 19
15 120 98
187 189 75
89 167 43
185 170 3
133 108 100
117 56 41
53 177 91
212 149 42
83 211 41
153 103 9
34 69 99
138 142 62
190 12 83
37 47 2
166 159 90
28 63 44
23 213 64
206 61 50
40 75 76
133 138 85
78 56 81
178 143 6
160 135 29
72 75 24
199 73 42
76 185 38
96 48 57
78 101 1
200 190 15
69 52 52
131 99 27
131 112 83
201 62 44
35 133 57
45 152 90
42 119 30
6 175 31
41 78 93
158 32 9
125 144 84
170 34 69
189 171 82
194 201 18
20 16 62
111 202 31
179 84 31
189 145 58
109 21 78
61 164 70
53 54 46
19 150 63
3 143 31
121 189 13
138 161 94
97 74 28
46 47 19
110 163 26
69 73 13
190 70 12
24 92 27
194 81 22
3 128 85
171 192 6
134 52 100
155 133 29
54 181 18
23 61 97
199 32 53
150 200 53
2 184 56
106 92 76
51 79 77
166 110 79
138 31 93
98 122 100
32 14 68
82 81 27
36 196 78
165 202 67
36 21 52
185 20 96
24 165 65
172 98 59
152 190 18
3 44 23
168 98 50
194 43 16
186 34 25
3 63 41
204 168 41
47 166 6
147 164 62
152 197 81
6 42 3
113 147 16
119 50 99
174 126 80
195 7 30
116 109 57
149 52 61
116 50 88
176 139 54
81 159 90
43 144 44
213 168 1
9 188 58
6 136 87
121 70 18
42 167 98
55 11 71
166 37 65
171 187 68
171 56 81
95 34 72
214 145 89
206 17 32
109 7 24
195 37 99
115 85 10
144 176 73
42 184 56
197 121 7
89 94 2
81 53 10
84 207 39
5 116 19
176 13 58
146 150 6
154 4 37
113 36 57
156 6 73
105 209 79
18 6 10
53 144 50
127 80 90
104 64 33
74 144 40
162 141 98
202 69 14
79 10 65
12 1 64
58 159 38
127 75 50
177 134 11
213 42 7
211 77 73
147 176 100
131 72 61
167 169 76
39 17 25
75 120 38
32 100 45
159 10 20
175 5 44
49 51 3
59 143 86
21 110 61
174 128 33
91 209 61
145 199 2
18 167 67
113 28 70
187 38 71
167 59 78
141 201 41
31 181 70
124 129 68
73 182 25
186 57 99
195 130 60
31 32 96
175 96 18
122 134 60
230 445
4 31 90
206 4 50
30 206 78
97 31 13
145 97 50
91 206 37
19 4 48
34 31 37
165 4 92
181 30 100
102 34 3
109 19 24
121 165 69
99 121 6
136 206 57
103 30 12
104 102 48
118 99 61
170 102 86
139 99 46
88 136 28
112 136 32
152 104 12
13 99 25
59 19 84
209 170 20
147 139 89
83 88 31
28 99 43
218 147 44
85 31 50
229 102 4
156 181 2
159 121 4
221 218 2
191 159 8
225 221 35
205 112 72
174 170 84
25 170 80
100 145 92
70 109 24
58 209 6
215 191 84
12 88 95
203 59 99
8 34 10
183 118 34
144 206 71
22 59 17
164 100 2
223 121 85
51 121 39
178 99 97
158 83 91
62 34 73
176 102 65
186 97 24
78 34 6
1 121 11
27 13 63
189 30 66
21 229 21
81 13 32
224 144 33
7 1 74
92 225 32
172 30 2
132 100 86
17 191 69
49 51 40
141 170 32
33 4 37
82 17 54
94 83 47
3 144 54
197 102 42
163 121 21
228 132 14
208 3 53
64 100 65
212 118 72
23 197 47
9 144 40
96 88 36
40 88 89
196 103 86
180 78 16
211 13 20
184 40 30
29 158 66
20 183 56
216 197 31
18 181 74
210 96 39
151 20 5
76 205 8
69 139 9
77 78 46
15 51 59
149 118 100
24 203 25
71 221 8
182 174 11
48 22 47
32 4 34
110 12 8
45 224 81
2 139 65
89 147 24
166 51 36
101 34 57
227 110 47
169 92 47
177 48 77
55 110 18
153 191 13
95 88 24
220 184 9
56 218 85
148 132 9
131 102 70
60 85 77
105 174 71
72 225 87
66 60 82
73 30 7
107 163 9
213 95 3
214 109 31
200 110 78
11 149 96
86 218 37
226 49 36
10 145 24
14 103 37
195 69 23
90 225 52
230 224 92
114 59 97
43 215 57
36 11 55
140 29 84
198 136 68
39 82 16
108 203 6
123 118 40
93 17 44
67 196 31
154 112 74
5 218 84
87 184 53
79 139 7
161 49 23
127 71 71
199 206 83
53 1 8
41 66 3
116 144 1
133 174 74
117 148 9
54 32 8
125 220 55
37 90 12
155 20 92
38 228 22
42 12 96
122 96 96
162 9 45
217 206 43
65 38 26
126 215 55
26 66 5
128 15 88
129 65 70
168 14 16
219 79 57
130 217 89
75 149 41
157 125 96
120 19 53
150 67 74
192 20 39
160 42 26
134 166 2
187 182 47
80 22 4
46 182 4
44 28 98
179 81 5
119 123 9
173 116 27
138 59 31
111 15 58
50 67 25
207 141 31
124 141 57
146 9 67
84 208 41
143 5 18
194 85 80
47 216 88
35 40 28
57 152 30
115 163 34
106 173 93
167 128 86
204 110 65
113 204 65
142 4 15
188 207 6
202 115 40
201 24 100
137 114 89
68 80 11
190 114 51
175 182 35
193 8 8
52 43 25
63 162 2
171 200 28
185 174 91
135 191 55
74 12 68
16 51 60
98 226 35
6 3 95
61 216 62
222 224 25
27 85 83
160 29 81
51 60 63
129 113 73
222 189 43
147 225 73
187 44 46
205 18 63
206 223 99
123 84 60
28 189 13
201 40 21
142 76 85
153 142 20
